Keys,English (Canada),French (Canada)
##operable_choppingblock,Chopping Block,Bloc de Coupe
##operable_choppingblock_info,Refine wood logs into planks at this station.,Coupez vos billots en planches à cette station.
##operable_laboratory,Laboratory,Laboratoire
##operable_laboratory_info,"Anything related to explosions can be crafted at this station, like explosive barrels, bombs and alchemist kits.","Tout matériel explosif est fabriqué à cette station, incluant barils explosifs, bombes et kits d'alchimiste."
##operable_loom,Loom,Métier à Tisser
##operable_loom_info,The loom allows you to refine plants into fabric and rope.,Cette station vous permet de tisser de la fibre végétale en corde et en textile.
##operable_forge,Forge,Forge
##operable_forge_info,"The forge enables metalworking, turning iron ingots into knight kits or cogs.",La forge vous permet de transformer vos lingots en kits de chevalier et en engrenages.
##operable_machineshop,Machine Shop,Manufacture
##operable_machineshop_info,Contraptions requiring mechanical components like beartraps and arbalist kits can be crafted here.,"Toute contraption mécanique est fabriquée ici, comme les pièges à ours et les kits d'arbalétriers."
##operable_altar,Altar,Autel
##operable_altar_info,"Items drawing from the mysterious energy emanating from crystals are built here, including wards and artificer kits.","Tout item puisant dans la mystérieuse source d'énergie qui émane des cristaux est fabriqué ici, incluant balises et kits d'artificier."
,,
TASKS,,
##task_build,Build,Bâtir
##task_build_info,<color=#ffc50a>Build</color>\n\nTask for building blocks and structures.,<color=#ffc50a>Bâtir</color>\n\nTâche de construction de blocs et structures.
##task_quarry,Quarry,Carrière
##task_quarry_info,<color=#ffc50a>Quarry</color>\n\nTask for digging downward and harvesting rock.,<color=#ffc50a>Carrière</color>\n\nTâche pour creuser le sol et récolter de la pierre.
##task_cleanup,Cleanup,Ménage
##task_cleanup_info,<color=#ffc50a>Cleanup</color>\n\nTask to pick up materials littering the ground.,<color=#ffc50a>Ménage</color>\n\nPour ramasser les objets qui jonchent le sol.
##task_harvest,Harvest,Récolte
##task_harvest_info,<color=#ffc50a>Harvest</color>\n\nTask to collect materials from resource nodes.,<color=#ffc50a>Récolte</color>\n\nTâche pour récolter des ressources à la surface.
##task_repair,Repair,Réparation
##task_repair_info,<color=#ffc50a>Repair</color>\n\nTask to repair damaged walls and structures.,<color=#ffc50a>Réparation</color>\n\nPermet de réparer des structures ou blocs endommagés.
##task_landscape,Flatten,Aplanir
##task_landscape_info,<color=#ffc50a>Flatten</color>\n\nTask to flatten terrain.,<color=#ffc50a>Aplanir</color>\n\nPermet d'aplanir le terrain.
##task_tunnel,Tunnel,Tunnel
##task_tunnel_info,<color=#ffc50a>Tunnel</color>\n\nTask for digging sideways and harvesting rock.,<color=#ffc50a>Tunnel</color>\n\nPour creuser horizontalement.
##task_idle,Crystal,Cristal
##task_idle_info,<color=#ffc50a>Crystal</color>\n\nDefault task for Bricktrons who are just chilling.,<color=#ffc50a>Cristal</color>\n\nTâche pour les Bricktrons qui relaxent.
##task_goals,Goals,Buts
##task_options,Options,Options
##task_all_goals,Goals,Buts
##task_all_goals_info,<color=#ffc50a>Goals</color>\n\nNumber of objectives in this task,<color=#ffc50a>Buts</color>\n\nNombre d'objectifs dans cette tâche
,,
##task_build_blueprintclear,Clear Blueprint Selection,Nettoyer Sélection de Plan
##task_build_blueprintclear_info,<color=#ffc50a>Clear Blueprint Selection</color>\n\nClears currently selected blueprints.,<color=#ffc50a>Nettoyer Sélection de Plan</color>\n\nNettoie la sélection actuelle de plans.
##task_build_blueprintactive,Toggle Blueprint Management,Commuter Gestion de Plan
##task_build_blueprintactive_info,<color=#ffc50a>Toggle Blueprint Management</color>\n\nActivates or deactivates blueprint management.,<color=#ffc50a>Commuter Gestion de Plan</color>\n\nActive ou désactive la gestion de plans.
##task_build_blueprintdelete,Delete Selected Blueprints,Effacer Plans Sélectionnés
##task_build_blueprintdelete_info,<color=#ffc50a>Delete Selected Blueprints</color>\n\nDeletes currently selected blueprints.,<color=#ffc50a>Effacer Plans Sélectionnés</color>\n\nEfface les plans sélectionnés.
##task_build_blueprintexpand,Expand Blueprint Selection,Expansion de Sélection de Plan
##task_build_blueprintexpand_info,<color=#ffc50a>Expand Blueprint Selection</color>\n\nAllows for more blueprints to be added to the selection.,<color=#ffc50a>Expansion de Sélection de Plan</color>\n\nPermet d'ajouter d'autres plans à la sélection.
##task_build_blueprintmove,Move Selected Blueprints,Bouger Plans Sélectionnés
##task_build_blueprintmove_info,<color=#ffc50a>Move Selected Blueprints</color>\n\nMove several blueprints around at once.,<color=#ffc50a>Bouger Plans Sélectionnés</color>\n\nBougez plusieurs plans simultanément.
##task_build_blueprintsplit,Split Selected Blueprints,Séparer Plans Sélectionnés
##task_build_blueprintsplit_info,<color=#ffc50a>Split Selected Blueprints</color>\n\nSplit selected blueprints into a new build task.,<color=#ffc50a>Séparer Plans Sélectionnés</color>\n\nSépare la sélection dans une nouvelle tâche.
##task_build_blueprintcopy,Copy Selected Blueprints,Copier Sélection de Plans
##task_build_blueprintcopy_info,<color=#ffc50a>Copy Selected Blueprints</color>\n\nMakes a copy of current selection.,<color=#ffc50a>Copier Sélection de Plans</color>\n\nFait une copie de la sélection actuelle.
,,
##task_priority,Priority,Priorité
,,
##task_actions,Actions,Actions
##task_actions_ok,OK,OK
##task_actions_ok_info,<color=#ffc50a>OK</color>\n\nConfirm changes and close edit mode,<color=#ffc50a>OK</color>\n\nConfirme les changements et ferme le mode édition
##task_actions_apply,Apply,Appliquer
##task_actions_apply_info,<color=#ffc50a>Apply</color>\n\nConfirm changes,<color=#ffc50a>Appliquer</color>\n\nConfirmer les changements
##task_actions_cancel,Cancel,Annuler
##task_actions_cancel_info,<color=#ffc50a>Cancel</color>\n\nCancel changes,<color=#ffc50a>Annuler</color>\n\nAnnule les changements
##task_actions_delete,Delete,Supprimer
##task_actions_delete_info,<color=#ffc50a>Delete</color>\n\nDelete the currently selected task,<color=#ffc50a>Supprimer</color>\n\nSupprime la tâche sélectionnée
##task_actions_select,Select Task,Sélectionner Tâche
##task_actions_select_info,<color=#ffc50a>Select Task</color>\n\nSelect this task,<color=#ffc50a>Sélectionner Tâche</color>\n\nSélectionne cette tâche
##task_actions_selectcrew,Select Crew,Sélectionner Groupe
##task_actions_selectcrew_info,<color=#ffc50a>Select Crew</color>\n\nSelects these Bricktrons to give them orders,<color=#ffc50a>Sélectionner Groupe</color>\n\nSélectionne ces Bricktrons pour leur donner des ordres
##task_actions_deselect,Deselect,Désélectionner
##task_actions_deselect_info,<color=#ffc50a>Deselect</color>\n\nUnselects the Bricktrons associated with this task,<color=#ffc50a>Désélectionner</color>\n\nDésélectionne les Bricktrons associés à cette tâche
,,
##task_idle_crystal,Next Bricktron,Prochain Bricktron
##task_idle_energy,Energy:,Énergie:
##task_idle_maxenergy,Maximum Reached,Maximum Atteint
##task_idle_spawn,Spawn,Invoquer
##task_idle_dead,Dead,Morts
##task_idle_population,Population,Population
##task_idle_population_info,<color=#ffc50a>Population</color>\n\nYour current Bricktron population over the maximum allowed,<color=#ffc50a>Population</color>\n\nVotre population actuelle de Bricktrons sur le maximum permis
##task_idle_death,Dead Bricktrons,Bricktrons Morts
##task_idle_death_info,<color=#ffc50a>Dead Bricktrons</color>\n\nThese Bricktrons will automatically respawn near your home crystal,<color=#ffc50a>Bricktrons Morts</color>\n\nCes Bricktrons vont automatiquement ressusciter près de votre cristal principal
##task_idle_progress,Progress Bar,Barre de Progrès
##task_idle_progress_info,<color=#ffc50a>Progress Bar</color>\n\nProgress to next Bricktron,<color=#ffc50a>Barre de Progrès</color>\n\nProgrès vers le prochain Bricktron
##task_idle_spawnunit,Spawn Bricktron,Invoquer Bricktron
##task_idle_spawnunit_info,<color=#ffc50a>Spawn Bricktron</color>\n\nSummons a Bricktron to join your side,<color=#ffc50a>Invoquer Bricktron</color>\n\nInvoque un Bricktron ouvrier
,,
##task_build_goals,Blocks,Blocs
##task_build_goals_info,"<color=#ffc50a>Blocks</color>\n\nNumber of bricks, blocks and structures to build and place","<color=#ffc50a>Blocs</color>\n\nNombre de briques, blocs et structures à construire et à placer"
,,
##task_harvest_options,Resource Types,Types de Ressources
##task_harvest_goals,Resources,Ressources
##task_harvest_goals_info,<color=#ffc50a>Resources</color>\n\nNumber of resources scheduled to be harvested in this task,<color=#ffc50a>Ressources</color>\n\nNombre de ressources à récolter dans cette tâche
##task_harvest_iron,Iron,Fer
##task_harvest_iron_info,<color=#ffc50a>Iron</color>\n\nEnable or disable the harvest of iron in this task,<color=#ffc50a>Fer</color>\n\nActiver ou désactiver la récolte de fer dans cette tâche
##task_harvest_iron_goals,Iron nodes,Veines de fer
##task_harvest_iron_goals_info,<color=#ffc50a>Iron nodes</color>\n\nNumber of iron nodes scheduled to be harvested in this task,<color=#ffc50a>Veines de fer</color>\n\nNombre de veines de fer à récolter dans cette tâche
##task_harvest_plants,Plants,Plantes
##task_harvest_plants_info,<color=#ffc50a>Plants</color>\n\nEnable or disable the harvest of plants in this task,<color=#ffc50a>Plantes</color>\n\nActiver ou désactiver la récolte de plantes dans cette tâche
##task_harvest_plants_goals,Plants,Plantes
##task_harvest_plants_goals_info,<color=#ffc50a>Plants</color>\n\nNumber of plants scheduled to be harvested in this task,<color=#ffc50a>Plantes</color>\n\nNombre de plantes à récolter dans cette tâche
##task_harvest_brimstone,Brimstone,Soufre
##task_harvest_brimstone_info,<color=#ffc50a>Brimstone</color>\n\nEnable or disable the harvest of brimstone in this task,<color=#ffc50a>Soufre</color>\n\nActiver ou désactiver la récolte de soufre dans cette tâche
##task_harvest_brimstone_goals,Brimstone nodes,Veines de soufre
##task_harvest_brimstone_goals_info,<color=#ffc50a>Brimstone nodes</color>\n\nNumber of brimstone nodes scheduled to be harvested in this task,<color=#ffc50a>Veines de soufre</color>\n\nNombre de veines de soufre à récolter dans cette tâche
##task_harvest_trees,Wood,Bois
##task_harvest_trees_info,<color=#ffc50a>Wood</color>\n\nEnable or disable the harvest of wood in this task,<color=#ffc50a>Bois</color>\n\nActiver ou désactiver la récolte de bois dans cette tâche
##task_harvest_trees_goals,Trees,Arbres
##task_harvest_trees_goals_info,<color=#ffc50a>Trees</color>\n\nNumber of trees scheduled to be harvested in this task,<color=#ffc50a>Arbres</color>\n\nNombre d'arbres à récolter dans cette tâche
##task_harvest_boulders,Stone,Pierre
##task_harvest_boulders_info,<color=#ffc50a>Stone</color>\n\nEnable or disable the harvest of stone in this task,<color=#ffc50a>Pierre</color>\n\nActiver ou désactiver la récolte de pierres dans cette tâche
##task_harvest_boulders_goals,Boulders,Rochers
##task_harvest_boulders_goals_info,<color=#ffc50a>Boulders</color>\n\nNumber of boulders scheduled to be harvested in this task,<color=#ffc50a>Rochers</color>\n\nNombre de rochers à récolter dans cette tâche
,,
##task_landscape_goals,Voxels,Voxels
##task_landscape_goals_info,<color=#ffc50a>Voxels</color>\n\nNumber of voxels projected to be removed or added,<color=#ffc50a>Voxels</color>\n\nNombre de voxels à enlever ou ajouter
##task_landscape_raise,Raise,Niveler vers le haut
##task_landscape_raise_info,<color=#ffc50a>Raise</color>\n\nOrders the Bricktrons to raise the terrain at selected location,<color=#ffc50a>Niveler vers le haut</color>\n\nOrdonne aux Bricktrons de surélever le terrain à l'endroit choisi
##task_landscape_lower,Lower,Niveler vers le bas
##task_landscape_lower_info,<color=#ffc50a>Lower</color>\n\nOrders the Bricktrons to lower the terrain at selected location,<color=#ffc50a>Niveler vers le bas</color>\n\nOrdonne aux Bricktrons de creuser le terrain à l'endroit choisi
